Advert ID,Promotion Value,Error
7057158504,137,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff753d6cda5+78885]
	GetHandleVerifier [0x0x7ff753d6ce00+78976]
	(No symbol) [0x0x7ff753b29bca]
	(No symbol) [0x0x7ff753b80766]
	(No symbol) [0x0x7ff753b80a1c]
	(No symbol) [0x0x7ff753bd4467]
	(No symbol) [0x0x7ff753ba8bcf]
	(No symbol) [0x0x7ff753bd122f]
	(No symbol) [0x0x7ff753ba8963]
	(No symbol) [0x0x7ff753b716b1]
	(No symbol) [0x0x7ff753b72443]
	GetHandleVerifier [0x0x7ff754044eed+3061101]
	GetHandleVerifier [0x0x7ff75403f33d+3037629]
	GetHandleVerifier [0x0x7ff75405e592+3165202]
	GetHandleVerifier [0x0x7ff753d8730e+186766]
	GetHandleVerifier [0x0x7ff753d8eb3f+217535]
	GetHandleVerifier [0x0x7ff753d759b4+114740]
	GetHandleVerifier [0x0x7ff753d75b69+115177]
	GetHandleVerifier [0x0x7ff753d5c368+10728]
	BaseThreadInitThunk [0x0x7ffd1912e8d7+23]
	RtlUserThreadStart [0x0x7ffd1a03c34c+44]
"
7057157807,137,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff753d6cda5+78885]
	GetHandleVerifier [0x0x7ff753d6ce00+78976]
	(No symbol) [0x0x7ff753b29bca]
	(No symbol) [0x0x7ff753b80766]
	(No symbol) [0x0x7ff753b80a1c]
	(No symbol) [0x0x7ff753bd4467]
	(No symbol) [0x0x7ff753ba8bcf]
	(No symbol) [0x0x7ff753bd122f]
	(No symbol) [0x0x7ff753ba8963]
	(No symbol) [0x0x7ff753b716b1]
	(No symbol) [0x0x7ff753b72443]
	GetHandleVerifier [0x0x7ff754044eed+3061101]
	GetHandleVerifier [0x0x7ff75403f33d+3037629]
	GetHandleVerifier [0x0x7ff75405e592+3165202]
	GetHandleVerifier [0x0x7ff753d8730e+186766]
	GetHandleVerifier [0x0x7ff753d8eb3f+217535]
	GetHandleVerifier [0x0x7ff753d759b4+114740]
	GetHandleVerifier [0x0x7ff753d75b69+115177]
	GetHandleVerifier [0x0x7ff753d5c368+10728]
	BaseThreadInitThunk [0x0x7ffd1912e8d7+23]
	RtlUserThreadStart [0x0x7ffd1a03c34c+44]
"
7056586464,137,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff753d6cda5+78885]
	GetHandleVerifier [0x0x7ff753d6ce00+78976]
	(No symbol) [0x0x7ff753b29bca]
	(No symbol) [0x0x7ff753b80766]
	(No symbol) [0x0x7ff753b80a1c]
	(No symbol) [0x0x7ff753bd4467]
	(No symbol) [0x0x7ff753ba8bcf]
	(No symbol) [0x0x7ff753bd122f]
	(No symbol) [0x0x7ff753ba8963]
	(No symbol) [0x0x7ff753b716b1]
	(No symbol) [0x0x7ff753b72443]
	GetHandleVerifier [0x0x7ff754044eed+3061101]
	GetHandleVerifier [0x0x7ff75403f33d+3037629]
	GetHandleVerifier [0x0x7ff75405e592+3165202]
	GetHandleVerifier [0x0x7ff753d8730e+186766]
	GetHandleVerifier [0x0x7ff753d8eb3f+217535]
	GetHandleVerifier [0x0x7ff753d759b4+114740]
	GetHandleVerifier [0x0x7ff753d75b69+115177]
	GetHandleVerifier [0x0x7ff753d5c368+10728]
	BaseThreadInitThunk [0x0x7ffd1912e8d7+23]
	RtlUserThreadStart [0x0x7ffd1a03c34c+44]
"
7056428313,137,"Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff753d6cda5+78885]
	GetHandleVerifier [0x0x7ff753d6ce00+78976]
	(No symbol) [0x0x7ff753b29bca]
	(No symbol) [0x0x7ff753b80766]
	(No symbol) [0x0x7ff753b80a1c]
	(No symbol) [0x0x7ff753bd4467]
	(No symbol) [0x0x7ff753ba8bcf]
	(No symbol) [0x0x7ff753bd122f]
	(No symbol) [0x0x7ff753ba8963]
	(No symbol) [0x0x7ff753b716b1]
	(No symbol) [0x0x7ff753b72443]
	GetHandleVerifier [0x0x7ff754044eed+3061101]
	GetHandleVerifier [0x0x7ff75403f33d+3037629]
	GetHandleVerifier [0x0x7ff75405e592+3165202]
	GetHandleVerifier [0x0x7ff753d8730e+186766]
	GetHandleVerifier [0x0x7ff753d8eb3f+217535]
	GetHandleVerifier [0x0x7ff753d759b4+114740]
	GetHandleVerifier [0x0x7ff753d75b69+115177]
	GetHandleVerifier [0x0x7ff753d5c368+10728]
	BaseThreadInitThunk [0x0x7ffd1912e8d7+23]
	RtlUserThreadStart [0x0x7ffd1a03c34c+44]
"
